unix,open,high,low,close
1640321400,51098.49,51098.49,51093.33,51093.33
1640321340,51085.36,51099.42,51085.36,51098.5
1640321280,51090.64,51095.75,51085.36,51085.36
1640321220,51110.36,51119.72,51110.36,51119.72
1640321160,51119.72,51119.72,51100.82,51107.65
1640321100,51119.71,51119.72,51119.71,51119.72
1640321040,51111.19,51120,51106.07,51106.07
1640320980,51110.66,51111.18,51090.63,51090.63
1640320920,51108.38,51110.66,51108.34,51110.66
1640320860,51108.38,51108.38,51108.38,51108.38
1640320800,51095.61,51100.36,51092.51,51092.51
1640320740,51092.5,51094.93,51092.5,51094.93
1640320680,51081.6,51081.6,51081.6,51081.6
1640320620,51059.22,51059.22,51051.43,51058.54
1640320560,51076.45,51076.45,51060.22,51060.22
1640320500,51076.49,51083.73,51075.98,51076.45
1640320440,51076.49,51076.49,51056.5,51076.49
1640320380,51072.44,51076.5,50985.78,51076.49
1640320320,51083.17,51088.38,51060.85,51060.85
1640320260,51083.17,51083.17,51083.17,51083.17
1640320200,51100.35,51100.35,51100.35,51100.35
1640320140,51090.63,51100.36,51090.62,51100.36
1640320080,51089.26,51090.63,51062.46,51062.46
1640320020,51090.64,51090.64,51090.64,51090.64
1640319960,51069.21,51090.13,51065.16,51090.13
1640319900,51056.46,51069.21,51056.46,51069.21
1640319840,51025.75,51056.46,51025.75,51056.46
1640319780,51013.98,51030.18,51009.11,51030.18
1640319720,51053.85,51053.85,51053.85,51053.85
1640319660,51074.44,51074.44,51053.85,51053.85
1640319600,51064.9,51064.9,51045.75,51056.05
1640319540,51068.85,51084.42,51065.35,51065.35
1640319480,51078.42,51078.42,51056.89,51056.89
1640319420,51085.55,51085.55,51066.95,51076.6
1640319360,51116.35,51116.35,51102.44,51102.44
1640319300,51117.75,51134.86,51117.75,51129.5
1640319240,51104.88,51117.75,51104.88,51117.75
1640319180,51101.66,51101.66,51101.66,51101.66
1640319120,51104.98,51104.98,51101.66,51101.66
1640319060,51088.35,51088.35,51088.35,51088.35
1640319000,51116,51124.41,51101.52,51101.52
1640318940,51116,51116,51096.78,51096.78
1640318880,51109,51116,51092.21,51116
1640318820,51079.9,51080,51079.9,51080
1640318760,51079.89,51079.89,51079.89,51079.89
1640318700,51068.45,51079.89,51068.45,51079.89
1640318640,51072.15,51078.5,51064.05,51064.05
1640318580,51068.85,51072.15,51068.85,51072.15
1640318520,51047.85,51047.85,51047.85,51047.85
1640318460,51078.49,51078.49,51073.04,51073.04
1640318400,51060.35,51080.13,51053.95,51078.15
1640318340,51068.03,51068.03,51038.8,51068.03
1640318280,51066.45,51069,51066.45,51069
1640318220,51026.37,51062.25,51026.37,51062.25
1640318160,50980.83,51047.5,50980.83,51047.5
1640318100,51013.64,51013.64,50962.78,50981.84
1640318040,51021.64,51021.64,51021.64,51021.64
1640317980,50909,50965.53,50909,50965.53
1640317920,50951.26,50956.01,50951.26,50954.17
1640317860,50974.93,50974.93,50925.97,50953.85
1640317800,51010.75,51010.84,50955,50955
1640317740,51025.62,51025.62,51025.62,51025.62
1640317680,51025.62,51035.69,51025.62,51025.62
1640317620,51070.1,51076.5,51037.57,51037.57
1640317560,51055.5,51064,51055.5,51064
1640317500,51074,51076.5,51058.27,51058.27
1640317440,51069.06,51076.33,51069.06,51076.33
